feature_id,k,n_selected,n_seeds,selection_frequency
EC|F6-FT8|Beta Medium,10,1,10,0.1
EC|F6-PO5|Beta Medium,10,1,10,0.1
EC|F6-PO7|Beta Medium,10,1,10,0.1
EC|F6-TP8|Beta High,10,1,10,0.1
EC|F7-P4|Beta Medium,10,1,10,0.1
EC|F7-P6|Beta Medium,10,1,10,0.1
EC|F8-C2|Beta Medium,10,1,10,0.1
EC|F8-C4|Beta Medium,10,1,10,0.1
EC|F8-CP5|Beta Medium,10,1,10,0.1
EC|F8-CP6|Beta Medium,10,1,10,0.1
EC|F8-FC2|Beta High,10,1,10,0.1
EC|F8-P4|Beta High,10,1,10,0.1
EC|F8-P6|Beta High,10,1,10,0.1
EC|F8-PO3|Beta High,10,1,10,0.1
EC|FC1-CB2|Beta High,10,1,10,0.1
EC|FC1-FC4|Beta High,10,1,10,0.1
EC|FC3-FC4|Beta High,10,1,10,0.1
EC|FC3-FT8|Beta High,10,1,10,0.1
EC|FC3-PO6|Beta High,10,1,10,0.1
EC|FC3-POZ|Alpha,10,1,10,0.1
EC|FC3-T8|Beta Medium,10,1,10,0.1
EC|FC6-C6|Beta Medium,10,1,10,0.1
EC|FC6-O1|Beta High,10,1,10,0.1
EC|FC6-PO7|Beta Medium,10,1,10,0.1
EC|FC6-T7|Beta Medium,10,1,10,0.1
EC|FC6-TP8|Beta High,10,1,10,0.1
EC|FCZ-CP1|Beta High,10,1,10,0.1
EC|FP2-FC3|Beta Medium,10,1,10,0.1
EC|FP2-P1|Beta Medium,10,1,10,0.1
EC|FP2-P3|Beta Medium,10,1,10,0.1
EC|FPZ-F6|Beta High,10,1,10,0.1
EC|FT8-CP4|Beta Medium,10,1,10,0.1
EC|FZ-FCZ|Beta Medium,10,1,10,0.1
EC|P1-PO7|Beta Medium,10,1,10,0.1
EC|P3-PO5|Beta Low,10,1,10,0.1
EC|T7-P7|Beta High,10,1,10,0.1
EC|T8-P3|Beta High,10,1,10,0.1
EC|FT7-P2|Beta Medium,20,6,10,0.6
EC|F8-CP1|Beta High,20,4,10,0.4
EC|F8-P3|Beta Medium,20,4,10,0.4
EC|C5-P2|Beta Medium,20,3,10,0.3
EC|CP2-CP6|Beta Low,20,3,10,0.3
EC|F4-C5|Beta High,20,3,10,0.3
EC|F8-C2|Beta Medium,20,3,10,0.3
EC|F8-C4|Beta Medium,20,3,10,0.3
EC|F8-C6|Beta Medium,20,3,10,0.3
EC|F8-CP4|Beta Medium,20,3,10,0.3
EC|F8-FC4|Beta High,20,3,10,0.3
EC|F8-P5|Beta Medium,20,3,10,0.3
EC|AF4-FC5|Beta Medium,20,2,10,0.2
EC|C2-T8|Beta High,20,2,10,0.2
EC|CP4-CB1|Beta High,20,2,10,0.2
EC|CP6-P4|Beta Medium,20,2,10,0.2
EC|F4-C3|Beta High,20,2,10,0.2
EC|F4-C4|Beta High,20,2,10,0.2
EC|F6-FC5|Beta High,20,2,10,0.2
EC|F6-PO7|Beta Medium,20,2,10,0.2
EC|F8-CP2|Beta Medium,20,2,10,0.2
EC|F8-CP3|Beta Medium,20,2,10,0.2
EC|FC1-FC4|Beta High,20,2,10,0.2
EC|FC3-PO6|Beta High,20,2,10,0.2
EC|FC6-C6|Beta Medium,20,2,10,0.2
EC|FC6-T8|Beta Low,20,2,10,0.2
EC|FC6-TP8|Beta High,20,2,10,0.2
EC|FP2-P1|Beta Medium,20,2,10,0.2
EC|FP2-P2|Beta Medium,20,2,10,0.2
EC|FP2-P3|Beta Medium,20,2,10,0.2
EC|P1-PO7|Beta Medium,20,2,10,0.2
EC|AF4-C3|Beta High,20,1,10,0.1
EC|AF4-C5|Beta High,20,1,10,0.1
EC|AF4-CP6|Beta Low,20,1,10,0.1
EC|AF4-F6|Beta Medium,20,1,10,0.1
EC|AF4-F7|Beta Medium,20,1,10,0.1
EC|AF4-FC1|Beta Medium,20,1,10,0.1
EC|AF4-FC3|Beta Medium,20,1,10,0.1
EC|AF4-FT8|Beta Medium,20,1,10,0.1
EC|C3-C4|Beta High,20,1,10,0.1
EC|C3-CB1|Beta High,20,1,10,0.1
EC|C3-O1|Beta High,20,1,10,0.1
EC|C3-P4|Beta High,20,1,10,0.1
EC|C3-P6|Beta High,20,1,10,0.1
EC|C5-C4|Beta High,20,1,10,0.1
EC|C5-CB2|Beta High,20,1,10,0.1
EC|C5-P4|Beta Medium,20,1,10,0.1
EC|C5-PZ|Beta Medium,20,1,10,0.1
EC|C6-P7|Beta Medium,20,1,10,0.1
EC|C6-PO5|Beta Medium,20,1,10,0.1
EC|C6-PO7|Beta Medium,20,1,10,0.1
EC|C6-TP7|Beta High,20,1,10,0.1
EC|CP2-CP4|Beta Low,20,1,10,0.1
EC|CP2-CP4|Beta Medium,20,1,10,0.1
EC|CP2-O1|Beta High,20,1,10,0.1
EC|CP2-PZ|Beta Medium,20,1,10,0.1
EC|CP2-TP8|Beta Low,20,1,10,0.1
EC|CP4-O1|Beta High,20,1,10,0.1
EC|CP4-TP8|Beta Low,20,1,10,0.1
EC|CP5-P5|Beta Low,20,1,10,0.1
EC|CP6-P8|Theta,20,1,10,0.1
EC|CZ-C6|Beta High,20,1,10,0.1
EC|F1-C2|Beta High,20,1,10,0.1
EC|F1-CP4|Beta High,20,1,10,0.1
EC|F1-FCZ|Alpha,20,1,10,0.1
EC|F1-P1|Beta Low,20,1,10,0.1
EC|F1-PO3|Beta High,20,1,10,0.1
EC|F1-PO4|Alpha,20,1,10,0.1
EC|F2-C2|Beta High,20,1,10,0.1
EC|F2-C5|Beta High,20,1,10,0.1
EC|F2-F4|Beta Medium,20,1,10,0.1
EC|F2-O1|Beta Medium,20,1,10,0.1
EC|F3-C2|Beta High,20,1,10,0.1
EC|F3-C4|Beta High,20,1,10,0.1
EC|F3-FC3|Theta,20,1,10,0.1
EC|F3-FC4|Beta High,20,1,10,0.1
EC|F3-FZ|Beta High,20,1,10,0.1
EC|F3-PO6|Alpha,20,1,10,0.1
EC|F4-CB1|Beta Medium,20,1,10,0.1
EC|F4-O1|Beta Medium,20,1,10,0.1
EC|F4-T7|Beta High,20,1,10,0.1
EC|F4-TP8|Beta High,20,1,10,0.1
EC|F5-C1|Beta Medium,20,1,10,0.1
EC|F5-F3|Beta Low,20,1,10,0.1
EC|F5-FC4|Beta High,20,1,10,0.1
EC|F6-C4|Beta Medium,20,1,10,0.1
EC|F6-F8|Beta High,20,1,10,0.1
EC|F6-F8|Beta Medium,20,1,10,0.1
EC|F6-FC2|Beta High,20,1,10,0.1
EC|F6-FT8|Beta Medium,20,1,10,0.1
EC|F6-PO5|Beta Low,20,1,10,0.1
EC|F6-PO5|Beta Medium,20,1,10,0.1
EC|F6-TP8|Beta High,20,1,10,0.1
EC|F7-P4|Beta Medium,20,1,10,0.1
EC|F7-P6|Beta Medium,20,1,10,0.1
EC|F8-C4|Beta High,20,1,10,0.1
EC|F8-CP5|Beta Medium,20,1,10,0.1
EC|F8-CP6|Beta Medium,20,1,10,0.1
EC|F8-CZ|Beta Medium,20,1,10,0.1
EC|F8-FC2|Beta High,20,1,10,0.1
EC|F8-FC3|Beta High,20,1,10,0.1
EC|F8-P1|Beta High,20,1,10,0.1
EC|F8-P1|Beta Medium,20,1,10,0.1
EC|F8-P4|Beta High,20,1,10,0.1
EC|F8-P6|Beta High,20,1,10,0.1
EC|F8-PO3|Beta High,20,1,10,0.1
EC|FC1-CB2|Beta High,20,1,10,0.1
EC|FC1-FC2|Beta High,20,1,10,0.1
EC|FC1-FCZ|Beta High,20,1,10,0.1
EC|FC1-OZ|Beta Low,20,1,10,0.1
EC|FC1-TP7|Beta High,20,1,10,0.1
EC|FC2-C1|Beta High,20,1,10,0.1
EC|FC2-P3|Beta Low,20,1,10,0.1
EC|FC3-CB2|Beta High,20,1,10,0.1
EC|FC3-FC4|Beta High,20,1,10,0.1
EC|FC3-FT8|Beta High,20,1,10,0.1
EC|FC3-POZ|Alpha,20,1,10,0.1
EC|FC3-T8|Beta Medium,20,1,10,0.1
EC|FC4-CP2|Beta High,20,1,10,0.1
EC|FC6-C3|Beta High,20,1,10,0.1
EC|FC6-O1|Beta High,20,1,10,0.1
EC|FC6-PO7|Beta Medium,20,1,10,0.1
EC|FC6-T7|Beta Medium,20,1,10,0.1
EC|FCZ-CP1|Beta High,20,1,10,0.1
EC|FP1-C5|Beta High,20,1,10,0.1
EC|FP1-F6|Beta High,20,1,10,0.1
EC|FP1-FC6|Beta High,20,1,10,0.1
EC|FP1-FT7|Beta High,20,1,10,0.1
EC|FP1-PZ|Beta Medium,20,1,10,0.1
EC|FP2-F2|Beta Medium,20,1,10,0.1
EC|FP2-F4|Beta Medium,20,1,10,0.1
EC|FP2-FC3|Beta Medium,20,1,10,0.1
EC|FP2-FT8|Beta Medium,20,1,10,0.1
EC|FPZ-F6|Beta High,20,1,10,0.1
EC|FPZ-F7|Beta Medium,20,1,10,0.1
EC|FPZ-P1|Beta Medium,20,1,10,0.1
EC|FPZ-P2|Beta Medium,20,1,10,0.1
EC|FT8-C2|Beta High,20,1,10,0.1
EC|FT8-CP4|Beta Medium,20,1,10,0.1
EC|FT8-P3|Beta Low,20,1,10,0.1
EC|FZ-FC1|Beta Medium,20,1,10,0.1
EC|FZ-FCZ|Alpha,20,1,10,0.1
EC|FZ-FCZ|Beta Medium,20,1,10,0.1
EC|FZ-P1|Beta Low,20,1,10,0.1
EC|P1-CB1|Beta Medium,20,1,10,0.1
EC|P3-PO5|Beta Low,20,1,10,0.1
EC|P4-P8|Beta Low,20,1,10,0.1
EC|P6-P8|Beta Low,20,1,10,0.1
EC|PO3-CB1|Beta Medium,20,1,10,0.1
EC|T7-P7|Beta High,20,1,10,0.1
EC|T8-P1|Beta Low,20,1,10,0.1
EC|T8-P3|Beta High,20,1,10,0.1
EC|C5-P2|Beta Medium,50,6,10,0.6
EC|FT7-P2|Beta Medium,50,6,10,0.6
EC|F8-CP1|Beta High,50,5,10,0.5
EC|F8-C4|Beta Medium,50,4,10,0.4
EC|F8-CP5|Beta Medium,50,4,10,0.4
EC|F8-FC4|Beta High,50,4,10,0.4
EC|F8-P3|Beta Medium,50,4,10,0.4
EC|F8-P5|Beta Medium,50,4,10,0.4
EC|FC6-PO7|Beta Medium,50,4,10,0.4
EC|FP2-P1|Beta Medium,50,4,10,0.4
EC|FP2-P2|Beta Medium,50,4,10,0.4
EC|FPZ-P1|Beta Medium,50,4,10,0.4
EC|AF4-FC5|Beta Medium,50,3,10,0.3
EC|C2-T8|Beta High,50,3,10,0.3
EC|C3-P6|Beta High,50,3,10,0.3
EC|C5-CB2|Beta High,50,3,10,0.3
EC|CP2-CP6|Beta Low,50,3,10,0.3
EC|F2-FC4|Beta Medium,50,3,10,0.3
EC|F4-C5|Beta High,50,3,10,0.3
EC|F6-FC5|Beta High,50,3,10,0.3
EC|F6-PO7|Beta Medium,50,3,10,0.3
EC|F8-C2|Beta Medium,50,3,10,0.3
EC|F8-C6|Beta Medium,50,3,10,0.3
EC|F8-CP3|Beta Medium,50,3,10,0.3
EC|F8-CP4|Beta Medium,50,3,10,0.3
EC|F8-FC6|Beta Medium,50,3,10,0.3
EC|F8-P1|Beta High,50,3,10,0.3
EC|F8-P4|Beta High,50,3,10,0.3
EC|F8-P6|Beta High,50,3,10,0.3
EC|FC1-FC4|Beta High,50,3,10,0.3
EC|FPZ-P2|Beta Medium,50,3,10,0.3
EC|P1-PO7|Beta Medium,50,3,10,0.3
EC|AF4-FC1|Beta Medium,50,2,10,0.2
EC|AF4-P3|Beta Medium,50,2,10,0.2
EC|C3-C4|Beta High,50,2,10,0.2
EC|C3-CB2|Beta High,50,2,10,0.2
EC|C5-P4|Beta Medium,50,2,10,0.2
EC|C6-PO5|Beta Medium,50,2,10,0.2
EC|C6-PO7|Beta Medium,50,2,10,0.2
EC|C6-TP7|Beta High,50,2,10,0.2
EC|CP2-CP4|Beta Medium,50,2,10,0.2
EC|CP3-P2|Beta Medium,50,2,10,0.2
EC|CP4-CB1|Beta High,50,2,10,0.2
EC|CP6-P4|Beta Medium,50,2,10,0.2
EC|F2-C5|Beta High,50,2,10,0.2
EC|F2-F4|Beta Medium,50,2,10,0.2
EC|F2-FC4|Beta High,50,2,10,0.2
EC|F2-FC5|Beta Medium,50,2,10,0.2
EC|F3-FC4|Beta High,50,2,10,0.2
EC|F4-C3|Beta High,50,2,10,0.2
EC|F4-C4|Beta High,50,2,10,0.2
EC|F4-CB1|Beta Medium,50,2,10,0.2
EC|F4-CP1|Beta High,50,2,10,0.2
EC|F4-CP4|Beta High,50,2,10,0.2
EC|F4-F8|Beta Medium,50,2,10,0.2
EC|F4-FT7|Beta High,50,2,10,0.2
EC|F4-P2|Beta Medium,50,2,10,0.2
EC|F4-T7|Beta High,50,2,10,0.2
EC|F4-TP8|Beta High,50,2,10,0.2
EC|F6-CP4|Beta High,50,2,10,0.2
EC|F6-F8|Beta Medium,50,2,10,0.2
EC|F6-FC2|Beta High,50,2,10,0.2
EC|F6-TP8|Beta High,50,2,10,0.2
EC|F7-P4|Beta Medium,50,2,10,0.2
EC|F8-C3|Beta Medium,50,2,10,0.2
EC|F8-CP2|Beta Medium,50,2,10,0.2
EC|F8-CP6|Beta Medium,50,2,10,0.2
EC|F8-CZ|Beta Medium,50,2,10,0.2
EC|F8-PO5|Beta Medium,50,2,10,0.2
EC|FC3-FC6|Beta High,50,2,10,0.2
EC|FC3-PO6|Beta High,50,2,10,0.2
EC|FC4-CP2|Beta High,50,2,10,0.2
EC|FC5-CP3|Beta High,50,2,10,0.2
EC|FC6-C6|Beta Medium,50,2,10,0.2
EC|FC6-CP4|Beta Medium,50,2,10,0.2
EC|FC6-O1|Beta High,50,2,10,0.2
EC|FC6-P4|Beta Medium,50,2,10,0.2
EC|FC6-P5|Beta Medium,50,2,10,0.2
EC|FC6-T8|Beta Low,50,2,10,0.2
EC|FC6-TP8|Beta High,50,2,10,0.2
EC|FP2-F2|Beta Medium,50,2,10,0.2
EC|FP2-OZ|Beta Medium,50,2,10,0.2
EC|FP2-P3|Beta Medium,50,2,10,0.2
EC|FT7-P6|Beta Medium,50,2,10,0.2
EC|FT8-P1|Beta Medium,50,2,10,0.2
EC|FZ-FCZ|Alpha,50,2,10,0.2
EC|P1-CB1|Beta Medium,50,2,10,0.2
EC|P1-PO3|Beta Medium,50,2,10,0.2
EC|P1-PO5|Beta Medium,50,2,10,0.2
EC|PZ-CB2|Beta Low,50,2,10,0.2
EC|T8-P8|Beta High,50,2,10,0.2
EC|TP8-PO5|Beta High,50,2,10,0.2
EC|AF3-C3|Beta High,50,1,10,0.1
EC|AF3-C3|Beta Medium,50,1,10,0.1
EC|AF3-CP3|Beta High,50,1,10,0.1
EC|AF3-F2|Beta Medium,50,1,10,0.1
EC|AF3-FC4|Beta High,50,1,10,0.1
EC|AF3-FC6|Beta High,50,1,10,0.1
EC|AF3-FT8|Alpha,50,1,10,0.1
EC|AF4-C3|Beta High,50,1,10,0.1
EC|AF4-C5|Beta High,50,1,10,0.1
EC|AF4-CP6|Beta High,50,1,10,0.1
EC|AF4-CP6|Beta Low,50,1,10,0.1
EC|AF4-F6|Beta Medium,50,1,10,0.1
EC|AF4-F7|Beta Medium,50,1,10,0.1
EC|AF4-FC2|Beta Medium,50,1,10,0.1
EC|AF4-FC3|Beta Medium,50,1,10,0.1
EC|AF4-FT8|Beta Medium,50,1,10,0.1
EC|AF4-P1|Beta Low,50,1,10,0.1
EC|AF4-P2|Beta Medium,50,1,10,0.1
EC|AF4-PO5|Beta Medium,50,1,10,0.1
EC|C1-P1|Alpha,50,1,10,0.1
EC|C1-PO8|Beta Medium,50,1,10,0.1
EC|C1-PZ|Beta Low,50,1,10,0.1
EC|C3-CB1|Beta High,50,1,10,0.1
EC|C3-O1|Beta High,50,1,10,0.1
EC|C3-P2|Beta Medium,50,1,10,0.1
EC|C3-P4|Beta High,50,1,10,0.1
EC|C3-P4|Beta Medium,50,1,10,0.1
EC|C3-PO8|Beta Medium,50,1,10,0.1
EC|C4-CP2|Beta High,50,1,10,0.1
EC|C4-P1|Beta High,50,1,10,0.1
EC|C4-TP7|Beta High,50,1,10,0.1
EC|C5-C4|Beta High,50,1,10,0.1
EC|C5-CP2|Beta High,50,1,10,0.1
EC|C5-CZ|Beta High,50,1,10,0.1
EC|C5-P6|Beta Medium,50,1,10,0.1
EC|C5-PO5|Beta Low,50,1,10,0.1
EC|C5-PO8|Beta Medium,50,1,10,0.1
EC|C5-PZ|Beta Medium,50,1,10,0.1
EC|C5-T8|Beta High,50,1,10,0.1
EC|C6-CP1|Beta Low,50,1,10,0.1
EC|C6-CP4|Beta Medium,50,1,10,0.1
EC|C6-CPZ|Beta Medium,50,1,10,0.1
EC|C6-P5|Beta Medium,50,1,10,0.1
EC|C6-P7|Beta Medium,50,1,10,0.1
EC|CP1-CP6|Beta Low,50,1,10,0.1
EC|CP1-O1|Beta High,50,1,10,0.1
EC|CP2-CP4|Beta Low,50,1,10,0.1
EC|CP2-O1|Beta High,50,1,10,0.1
EC|CP2-P5|Beta Low,50,1,10,0.1
EC|CP2-P8|Beta Low,50,1,10,0.1
EC|CP2-POZ|Beta Medium,50,1,10,0.1
EC|CP2-PZ|Beta Medium,50,1,10,0.1
EC|CP2-TP8|Beta Low,50,1,10,0.1
EC|CP3-O2|Beta Low,50,1,10,0.1
EC|CP3-PO3|Beta Low,50,1,10,0.1
EC|CP3-PO7|Beta Low,50,1,10,0.1
EC|CP4-O1|Beta High,50,1,10,0.1
EC|CP4-TP8|Beta Low,50,1,10,0.1
EC|CP5-CP2|Beta High,50,1,10,0.1
EC|CP5-P5|Beta Low,50,1,10,0.1
EC|CP6-P8|Theta,50,1,10,0.1
EC|CP6-POZ|Beta High,50,1,10,0.1
EC|CPZ-CP6|Beta Medium,50,1,10,0.1
EC|CPZ-PO7|Beta Low,50,1,10,0.1
EC|CZ-C6|Beta High,50,1,10,0.1
EC|CZ-C6|Beta Low,50,1,10,0.1
EC|CZ-C6|Beta Medium,50,1,10,0.1
EC|CZ-P1|Beta Medium,50,1,10,0.1
EC|CZ-TP7|Beta Low,50,1,10,0.1
EC|F1-C2|Beta High,50,1,10,0.1
EC|F1-C3|Beta High,50,1,10,0.1
EC|F1-C4|Beta High,50,1,10,0.1
EC|F1-CP1|Beta High,50,1,10,0.1
EC|F1-CP4|Beta High,50,1,10,0.1
EC|F1-FCZ|Alpha,50,1,10,0.1
EC|F1-P1|Beta Low,50,1,10,0.1
EC|F1-PO3|Beta High,50,1,10,0.1
EC|F1-PO4|Alpha,50,1,10,0.1
EC|F2-C2|Beta High,50,1,10,0.1
EC|F2-CP5|Beta High,50,1,10,0.1
EC|F2-CPZ|Beta High,50,1,10,0.1
EC|F2-FCZ|Beta Medium,50,1,10,0.1
EC|F2-FT7|Beta High,50,1,10,0.1
EC|F2-O1|Beta Medium,50,1,10,0.1
EC|F2-OZ|Beta Medium,50,1,10,0.1
EC|F2-P3|Beta Medium,50,1,10,0.1
EC|F2-PO5|Beta Low,50,1,10,0.1
EC|F2-PO7|Beta Medium,50,1,10,0.1
EC|F2-PZ|Beta Medium,50,1,10,0.1
EC|F2-TP8|Beta High,50,1,10,0.1
EC|F3-C2|Beta High,50,1,10,0.1
EC|F3-C4|Beta High,50,1,10,0.1
EC|F3-FC2|Beta High,50,1,10,0.1
EC|F3-FC3|Theta,50,1,10,0.1
EC|F3-FZ|Beta High,50,1,10,0.1
EC|F3-P6|Beta High,50,1,10,0.1
EC|F3-PO4|Alpha,50,1,10,0.1
EC|F3-PO6|Alpha,50,1,10,0.1
EC|F3-PO6|Beta High,50,1,10,0.1
EC|F3-POZ|Beta Low,50,1,10,0.1
EC|F4-C6|Beta High,50,1,10,0.1
EC|F4-CP2|Beta High,50,1,10,0.1
EC|F4-F8|Beta High,50,1,10,0.1
EC|F4-FC4|Beta Medium,50,1,10,0.1
EC|F4-FC5|Beta High,50,1,10,0.1
EC|F4-O1|Beta Medium,50,1,10,0.1
EC|F4-PO5|Beta Medium,50,1,10,0.1
EC|F4-PO7|Beta Medium,50,1,10,0.1
EC|F4-POZ|Beta Low,50,1,10,0.1
EC|F5-C1|Beta Medium,50,1,10,0.1
EC|F5-F3|Beta Low,50,1,10,0.1
EC|F5-FC2|Beta High,50,1,10,0.1
EC|F5-FC4|Beta High,50,1,10,0.1
EC|F5-PO8|Beta Low,50,1,10,0.1
EC|F6-C2|Beta Medium,50,1,10,0.1
EC|F6-C4|Beta Medium,50,1,10,0.1
EC|F6-C6|Beta High,50,1,10,0.1
EC|F6-CB1|Beta Medium,50,1,10,0.1
EC|F6-CP1|Beta High,50,1,10,0.1
EC|F6-CP6|Beta High,50,1,10,0.1
EC|F6-F8|Beta High,50,1,10,0.1
EC|F6-FC6|Beta High,50,1,10,0.1
EC|F6-FT7|Beta High,50,1,10,0.1
EC|F6-FT8|Beta Medium,50,1,10,0.1
EC|F6-PO5|Beta Low,50,1,10,0.1
EC|F6-PO5|Beta Medium,50,1,10,0.1
EC|F6-TP7|Beta Medium,50,1,10,0.1
EC|F7-C1|Beta Medium,50,1,10,0.1
EC|F7-CB2|Beta Low,50,1,10,0.1
EC|F7-CPZ|Beta High,50,1,10,0.1
EC|F7-P1|Beta Low,50,1,10,0.1
EC|F7-P2|Beta Medium,50,1,10,0.1
EC|F7-P6|Beta Medium,50,1,10,0.1
EC|F7-P8|Beta Low,50,1,10,0.1
EC|F7-PO4|Beta High,50,1,10,0.1
EC|F7-PO4|Beta Low,50,1,10,0.1
EC|F7-PO6|Beta Low,50,1,10,0.1
EC|F7-PO8|Beta Low,50,1,10,0.1
EC|F7-PZ|Beta Medium,50,1,10,0.1
EC|F8-C1|Beta High,50,1,10,0.1
EC|F8-C4|Beta High,50,1,10,0.1
EC|F8-CP1|Beta Medium,50,1,10,0.1
EC|F8-CP2|Beta High,50,1,10,0.1
EC|F8-FC1|Beta High,50,1,10,0.1
EC|F8-FC2|Beta High,50,1,10,0.1
EC|F8-FC3|Beta High,50,1,10,0.1
EC|F8-FCZ|Beta High,50,1,10,0.1
EC|F8-FT8|Beta High,50,1,10,0.1
EC|F8-P1|Beta Medium,50,1,10,0.1
EC|F8-PO3|Beta High,50,1,10,0.1
EC|F8-PO3|Beta Low,50,1,10,0.1
EC|F8-PO3|Beta Medium,50,1,10,0.1
EC|F8-PO7|Beta Medium,50,1,10,0.1
EC|F8-T8|Beta High,50,1,10,0.1
EC|F8-TP7|Beta Medium,50,1,10,0.1
EC|FC1-CB2|Beta High,50,1,10,0.1
EC|FC1-FC2|Beta High,50,1,10,0.1
EC|FC1-FCZ|Beta High,50,1,10,0.1
EC|FC1-OZ|Beta Low,50,1,10,0.1
EC|FC1-P1|Beta Low,50,1,10,0.1
EC|FC1-T8|Beta Medium,50,1,10,0.1
EC|FC1-TP7|Beta High,50,1,10,0.1
EC|FC2-C1|Beta High,50,1,10,0.1
EC|FC2-C2|Beta High,50,1,10,0.1
EC|FC2-C6|Beta Low,50,1,10,0.1
EC|FC2-P3|Beta Low,50,1,10,0.1
EC|FC3-C3|Beta High,50,1,10,0.1
EC|FC3-C6|Beta High,50,1,10,0.1
EC|FC3-CB2|Beta High,50,1,10,0.1
EC|FC3-FC4|Beta High,50,1,10,0.1
EC|FC3-FT8|Beta High,50,1,10,0.1
EC|FC3-OZ|Alpha,50,1,10,0.1
EC|FC3-OZ|Beta High,50,1,10,0.1
EC|FC3-POZ|Alpha,50,1,10,0.1
EC|FC3-T8|Beta Medium,50,1,10,0.1
EC|FC4-O1|Beta High,50,1,10,0.1
EC|FC4-P2|Beta Medium,50,1,10,0.1
EC|FC4-P4|Beta Medium,50,1,10,0.1
EC|FC4-POZ|Beta High,50,1,10,0.1
EC|FC4-PZ|Beta Medium,50,1,10,0.1
EC|FC4-T7|Beta Medium,50,1,10,0.1
EC|FC5-FT8|Beta High,50,1,10,0.1
EC|FC5-PO6|Beta Medium,50,1,10,0.1
EC|FC5-PO8|Beta Medium,50,1,10,0.1
EC|FC5-PZ|Beta Medium,50,1,10,0.1
EC|FC6-C3|Beta High,50,1,10,0.1
EC|FC6-C4|Beta Medium,50,1,10,0.1
EC|FC6-CP5|Beta Medium,50,1,10,0.1
EC|FC6-CP6|Beta High,50,1,10,0.1
EC|FC6-P6|Beta Medium,50,1,10,0.1
EC|FC6-P7|Beta Medium,50,1,10,0.1
EC|FC6-PO3|Beta Medium,50,1,10,0.1
EC|FC6-PO5|Beta Medium,50,1,10,0.1
EC|FC6-T7|Beta Medium,50,1,10,0.1
EC|FC6-TP7|Beta High,50,1,10,0.1
EC|FCZ-C1|Beta High,50,1,10,0.1
EC|FCZ-CP1|Beta High,50,1,10,0.1
EC|FCZ-PZ|Beta High,50,1,10,0.1
EC|FP1-C5|Beta High,50,1,10,0.1
EC|FP1-F1|Beta Low,50,1,10,0.1
EC|FP1-F2|Beta Low,50,1,10,0.1
EC|FP1-F3|Beta Low,50,1,10,0.1
EC|FP1-F6|Beta High,50,1,10,0.1
EC|FP1-FC6|Beta High,50,1,10,0.1
EC|FP1-FC6|Beta Medium,50,1,10,0.1
EC|FP1-FT7|Beta High,50,1,10,0.1
EC|FP1-P3|Beta High,50,1,10,0.1
EC|FP1-PZ|Beta Medium,50,1,10,0.1
EC|FP2-C4|Beta Medium,50,1,10,0.1
EC|FP2-CPZ|Beta High,50,1,10,0.1
EC|FP2-CZ|Beta High,50,1,10,0.1
EC|FP2-F4|Beta Medium,50,1,10,0.1
EC|FP2-FC2|Beta Medium,50,1,10,0.1
